"read_counts","cepa","library"
272613,"NZ_CP048818.1","SRR12893569"
269761,"NZ_CP048819.1","SRR12893569"
271241,"NZ_CP048820.1","SRR12893569"
24610,"NZ_CP050521.1","SRR12893569"
43279,"NZ_CP051156.1","SRR12893569"
50423,"NZ_CP051157.1","SRR12893569"
286088,"NZ_CP051264.2","SRR12893569"
285976,"NZ_CP051265.2","SRR12893569"
259511,"NZ_CP051266.2","SRR12893569"
286225,"NZ_CP051608.1","SRR12893569"
53614,"NZ_CP054557.1","SRR12893569"
90607,"NZ_CP067976.1","SRR12893569"
50026,"NZ_CP069052.1","SRR12893569"
51095,"NZ_CP069053.1","SRR12893569"
87616,"NZ_CP069054.1","SRR12893569"
48433,"NZ_CP069055.1","SRR12893569"
51319,"NZ_CP069060.1","SRR12893569"
52128,"NZ_CP072012.1","SRR12893569"
49130,"NZ_CP072666.1","SRR12893569"
49130,"NZ_CP072667.1","SRR12893569"
49130,"NZ_CP072668.1","SRR12893569"
49130,"NZ_CP072669.1","SRR12893569"
49130,"NZ_CP072670.1","SRR12893569"
49130,"NZ_CP072671.1","SRR12893569"
49130,"NZ_CP072672.1","SRR12893569"
48083,"NZ_CP076228.1","SRR12893569"
1560297,"NZ_CP080546.1","SRR12893569"
79230,"NZ_CP084693.1","SRR12893569"
87582,"NZ_CP084694.1","SRR12893569"
101906,"NZ_CP087954.1","SRR12893569"
49128,"NZ_CP090948.1","SRR12893569"
56358,"NZ_CP091195.1","SRR12893569"
11507,"NZ_CP092368.1","SRR12893569"
102509,"NZ_CP092526.1","SRR12893569"
90655,"NZ_CP096925.1","SRR12893569"
90683,"NZ_CP096926.1","SRR12893569"
47145,"NZ_CP101657.1","SRR12893569"
44143,"NZ_CP110359.1","SRR12893569"
9186,"NZ_HG810405.1","SRR12893569"
179625,"NZ_OW370537.1","SRR12893569"
84265,"NZ_OW370567.1","SRR12893569"
89124,"NC_010981.1","SRR12893570"
7263,"NC_018267.1","SRR12893570"
29677,"NZ_AP013028.1","SRR12893570"
31944,"NZ_CP015510.2","SRR12893570"
95208,"NZ_CP021120.1","SRR12893570"
1948150,"NZ_CP031221.1","SRR12893570"
18957,"NZ_CP034333.1","SRR12893570"
79814,"NZ_CP034334.1","SRR12893570"
79814,"NZ_CP034335.1","SRR12893570"
39899,"NZ_CP037426.1","SRR12893570"
43321,"NZ_CP041215.1","SRR12893570"
1944726,"NZ_CP041923.1","SRR12893570"
1952620,"NZ_CP041924.1","SRR12893570"
36541,"NZ_CP042444.1","SRR12893570"
36538,"NZ_CP042445.1","SRR12893570"
36539,"NZ_CP042446.1","SRR12893570"
45887,"NZ_CP042904.1","SRR12893570"
22080,"NZ_CP046577.1","SRR12893570"
12656,"NZ_CP046578.1","SRR12893570"
7239,"NZ_CP046579.1","SRR12893570"
7670,"NZ_CP046580.1","SRR12893570"
36747,"NZ_CP046921.1","SRR12893570"
36747,"NZ_CP046922.1","SRR12893570"
36471,"NZ_CP046923.1","SRR12893570"
36540,"NZ_CP046924.1","SRR12893570"
36538,"NZ_CP046925.1","SRR12893570"
317375,"NZ_CP048818.1","SRR12893570"
313212,"NZ_CP048819.1","SRR12893570"
313309,"NZ_CP048820.1","SRR12893570"
18945,"NZ_CP050521.1","SRR12893570"
30482,"NZ_CP051156.1","SRR12893570"
39855,"NZ_CP051157.1","SRR12893570"
332930,"NZ_CP051264.2","SRR12893570"
332824,"NZ_CP051265.2","SRR12893570"
300203,"NZ_CP051266.2","SRR12893570"
333083,"NZ_CP051608.1","SRR12893570"
39995,"NZ_CP054557.1","SRR12893570"
83164,"NZ_CP067976.1","SRR12893570"
37470,"NZ_CP069052.1","SRR12893570"
38770,"NZ_CP069053.1","SRR12893570"
79815,"NZ_CP069054.1","SRR12893570"
35575,"NZ_CP069055.1","SRR12893570"
38916,"NZ_CP069060.1","SRR12893570"
39684,"NZ_CP072012.1","SRR12893570"
36538,"NZ_CP072666.1","SRR12893570"
36538,"NZ_CP072667.1","SRR12893570"
36538,"NZ_CP072668.1","SRR12893570"
36538,"NZ_CP072669.1","SRR12893570"
36538,"NZ_CP072670.1","SRR12893570"
36538,"NZ_CP072671.1","SRR12893570"
36538,"NZ_CP072672.1","SRR12893570"
35271,"NZ_CP076228.1","SRR12893570"
1948163,"NZ_CP080546.1","SRR12893570"
70057,"NZ_CP084693.1","SRR12893570"
79804,"NZ_CP084694.1","SRR12893570"
94019,"NZ_CP087954.1","SRR12893570"
36539,"NZ_CP090948.1","SRR12893570"
41802,"NZ_CP091195.1","SRR12893570"
8367,"NZ_CP092368.1","SRR12893570"
94210,"NZ_CP092526.1","SRR12893570"
82968,"NZ_CP096925.1","SRR12893570"
83002,"NZ_CP096926.1","SRR12893570"
37203,"NZ_CP101657.1","SRR12893570"
34082,"NZ_CP110359.1","SRR12893570"
7267,"NZ_HG810405.1","SRR12893570"
212768,"NZ_OW370537.1","SRR12893570"
81925,"NZ_OW370567.1","SRR12893570"
97390,"NC_010981.1","SRR12893571"
6529,"NC_018267.1","SRR12893571"
25156,"NZ_AP013028.1","SRR12893571"
27773,"NZ_CP015510.2","SRR12893571"
105157,"NZ_CP021120.1","SRR12893571"
2047077,"NZ_CP031221.1","SRR12893571"
15573,"NZ_CP034333.1","SRR12893571"
87386,"NZ_CP034334.1","SRR12893571"
87386,"NZ_CP034335.1","SRR12893571"
36000,"NZ_CP037426.1","SRR12893571"
40154,"NZ_CP041215.1","SRR12893571"
2043857,"NZ_CP041923.1","SRR12893571"
2050011,"NZ_CP041924.1","SRR12893571"
32711,"NZ_CP042444.1","SRR12893571"
32698,"NZ_CP042445.1","SRR12893571"
32713,"NZ_CP042446.1","SRR12893571"
42086,"NZ_CP042904.1","SRR12893571"
18162,"NZ_CP046577.1","SRR12893571"
11107,"NZ_CP046578.1","SRR12893571"
5980,"NZ_CP046579.1","SRR12893571"
6853,"NZ_CP046580.1","SRR12893571"
33105,"NZ_CP046921.1","SRR12893571"
33105,"NZ_CP046922.1","SRR12893571"
32581,"NZ_CP046923.1","SRR12893571"
32712,"NZ_CP046924.1","SRR12893571"
32712,"NZ_CP046925.1","SRR12893571"
334516,"NZ_CP048818.1","SRR12893571"
330596,"NZ_CP048819.1","SRR12893571"
329904,"NZ_CP048820.1","SRR12893571"
15561,"NZ_CP050521.1","SRR12893571"
26203,"NZ_CP051156.1","SRR12893571"
34413,"NZ_CP051157.1","SRR12893571"
350616,"NZ_CP051264.2","SRR12893571"
350488,"NZ_CP051265.2","SRR12893571"
316571,"NZ_CP051266.2","SRR12893571"
350785,"NZ_CP051608.1","SRR12893571"
35144,"NZ_CP054557.1","SRR12893571"
93511,"NZ_CP067976.1","SRR12893571"
34205,"NZ_CP069052.1","SRR12893571"
35919,"NZ_CP069053.1","SRR12893571"
87387,"NZ_CP069054.1","SRR12893571"
31037,"NZ_CP069055.1","SRR12893571"
36404,"NZ_CP069060.1","SRR12893571"
36559,"NZ_CP072012.1","SRR12893571"
32712,"NZ_CP072666.1","SRR12893571"
32712,"NZ_CP072667.1","SRR12893571"
32712,"NZ_CP072668.1","SRR12893571"
32712,"NZ_CP072669.1","SRR12893571"
32712,"NZ_CP072670.1","SRR12893571"
32712,"NZ_CP072671.1","SRR12893571"
32712,"NZ_CP072672.1","SRR12893571"
29839,"NZ_CP076228.1","SRR12893571"
2047104,"NZ_CP080546.1","SRR12893571"
77646,"NZ_CP084693.1","SRR12893571"
88079,"NZ_CP084694.1","SRR12893571"
103103,"NZ_CP087954.1","SRR12893571"
32712,"NZ_CP090948.1","SRR12893571"
37049,"NZ_CP091195.1","SRR12893571"
6376,"NZ_CP092368.1","SRR12893571"
104031,"NZ_CP092526.1","SRR12893571"
92423,"NZ_CP096925.1","SRR12893571"
92474,"NZ_CP096926.1","SRR12893571"
36102,"NZ_CP101657.1","SRR12893571"
28619,"NZ_CP110359.1","SRR12893571"
6529,"NZ_HG810405.1","SRR12893571"
